@RELATION interaction
 
@ATTRIBUTE C0 NUMERIC
@ATTRIBUTE C1 NUMERIC
@ATTRIBUTE C2 NUMERIC
@ATTRIBUTE C3 NUMERIC
@ATTRIBUTE TP {C0, C1, C2, C3}


@DATA
10.73,4.14,1.84,12.45,C1
4.47,0.0,0.97,7.66,C0
3.59,0.0,0.0,2.33,C0
20.09,0.0,0.0,38.85,C2
1.35,9.32,4.38,2.46,C1
1.19,10.38,0.85,4.46,C2
2.65,0.0,1.88,2.45,C2
7.79,0.0,1.34,13.86,C0
10.55,0.0,0.0,14.16,C0
13.02,23.57,11.0,36.32,C1
2.34,3.23,0.76,4.26,C1
2.44,0.0,0.0,28.34,C0
34.78,55.02,37.07,18.7,C2
9.1,0.0,1.87,12.04,C1
5.17,0.0,1.77,9.69,C1
0.0,0.0,0.0,12.32,C3
1.2,14.51,1.78,2.35,C1
7.66,0.0,8.95,7.12,C2
0.0,0.0,0.0,33.77,C3
12.36,83.89,4.79,19.6,C0
6.78,0.0,1.95,24.58,C0
4.88,8.9,1.69,7.1,C1
2.75,11.7,3.78,2.43,C1
2.64,0.0,0.0,13.09,C0
0.74,0.0,0.0,9.57,C3
2.02,0.0,1.16,3.92,C2
1.28,1.02,0.46,2.26,C1
5.21,0.0,3.73,4.91,C0
20.56,7.85,1.92,10.03,C1
2.73,27.2,7.23,2.42,C2
4.91,3.25,5.81,4.76,C1
1.27,0.0,0.0,16.43,C3
1.28,0.0,0.0,21.4,C3
6.77,0.0,1.91,12.55,C2
0.81,0.0,0.0,11.34,C3
0.0,16.2,3.9,24.87,C1
9.46,15.69,2.85,26.52,C1
3.83,0.0,1.53,2.36,C2
0.04,0.24,0.0,0.0,C1
8.27,42.18,2.7,6.98,C2
6.59,19.64,1.85,26.82,C1
2.47,30.63,0.88,2.3,C1
2.49,7.53,7.52,2.15,C2
0.0,0.0,0.0,7.51,C0
14.68,0.0,0.81,7.01,C2
8.21,0.0,0.91,10.0,C0
2.91,4.75,17.64,4.05,C2
5.38,3.62,1.83,36.94,C2
2.62,16.11,1.89,4.58,C1
5.16,0.0,0.51,7.83,C2
2.79,24.23,0.96,4.97,C1
1.31,0.0,2.11,2.23,C2
3.81,0.0,3.76,4.96,C0
21.57,0.0,3.84,30.74,C2
9.07,0.0,1.91,8.06,C2
1.95,0.0,0.0,17.64,C0
5.41,0.0,6.9,6.65,C2
0.65,0.0,0.0,7.03,C3
2.7,78.61,0.96,4.81,C1
0.0,0.0,0.0,11.56,C3
1.78,22.68,1.74,1.84,C1
3.72,8.95,6.22,2.3,C1
1.26,0.0,7.48,11.29,C0
19.3,0.0,0.98,15.14,C0
6.94,8.09,2.92,10.15,C1
2.74,18.68,2.83,2.49,C1
0.68,0.0,0.0,22.47,C3
2.52,15.0,4.31,2.26,C1
1.3,0.0,1.56,4.4,C2
0.63,0.0,0.0,26.14,C0
1.38,11.07,3.81,2.47,C1
10.65,3.66,5.51,2.49,C0
6.08,0.0,0.75,6.59,C0
22.7,0.0,0.0,34.18,C0
3.48,0.0,0.0,33.45,C0
2.67,15.29,2.77,10.55,C1
1.21,0.0,1.71,3.53,C2
5.49,23.95,3.82,19.95,C1
2.28,0.0,0.8,4.56,C2
3.83,0.0,1.41,3.97,C2
1.18,0.0,0.0,18.16,C3
18.11,39.18,7.46,12.37,C0
6.13,0.0,10.46,4.52,C2
13.15,12.06,1.6,38.38,C1
2.72,0.0,0.0,12.4,C0
3.98,0.0,1.87,2.39,C0
1.36,0.0,10.19,2.48,C1
13.17,0.0,0.0,9.67,C3
23.21,0.0,1.92,14.68,C3
3.52,0.0,0.76,11.3,C0
0.0,0.0,0.0,10.05,C0
2.59,0.0,0.0,19.77,C3
27.33,3.76,1.72,12.27,C1
1.28,2.88,4.45,6.64,C1
2.77,90.42,36.16,2.33,C2
6.02,0.0,0.0,19.08,C3
1.26,31.69,6.31,6.53,C2
0.0,0.0,0.0,24.2,C3
2.32,0.0,0.0,2.46,C0
2.74,20.02,3.82,2.47,C1
4.92,0.0,0.0,17.55,C0
2.76,4.03,3.88,2.47,C1
7.89,6.83,10.64,1.9,C2
3.95,16.28,3.84,2.45,C1
3.45,0.0,0.8,8.33,C2
5.56,0.0,2.84,2.55,C0
35.63,36.89,6.73,15.11,C0
2.52,3.47,5.62,12.59,C1
16.92,0.0,0.0,40.74,C3
0.0,0.0,0.0,24.3,C3
11.09,0.0,0.0,19.99,C3
2.78,44.99,3.91,2.52,C1
1.3,7.33,1.82,2.4,C1
2.63,0.0,3.72,2.44,C2
2.46,3.55,1.61,13.57,C1
4.14,20.31,4.84,5.05,C1
2.7,7.93,2.88,7.35,C1
0.0,0.0,0.0,51.42,C3
4.59,35.8,0.77,26.07,C1
2.38,0.0,0.0,21.08,C3
3.82,37.25,2.07,4.31,C1
10.86,21.16,0.83,31.03,C1
2.59,0.0,0.0,2.39,C0
5.33,21.54,8.85,2.48,C1
0.8,1.75,0.72,4.18,C1
0.86,0.0,0.0,18.17,C0
0.0,0.0,0.0,25.21,C3
2.56,4.27,1.05,2.99,C1
2.39,3.64,5.3,2.36,C1
10.41,0.0,0.0,16.62,C0
3.39,0.0,4.83,2.17,C2
16.34,0.0,0.0,19.15,C0
21.95,0.0,1.83,25.16,C0
10.67,70.75,3.63,4.86,C2
32.21,52.26,21.55,31.06,C2
2.68,0.0,0.0,7.45,C0
4.64,7.4,0.73,17.55,C2
0.97,19.25,2.42,2.34,C1
8.22,0.0,0.0,5.0,C2
1.46,0.0,3.23,2.43,C2
5.31,22.7,1.86,2.51,C1
28.49,76.96,11.65,19.96,C1
2.43,32.66,1.76,19.09,C2
6.92,7.47,2.87,4.99,C1
0.0,0.0,0.0,21.65,C3
2.62,24.27,2.64,4.01,C1
1.37,28.08,1.85,2.44,C1
3.67,0.0,0.88,4.92,C1
1.35,11.16,0.97,2.47,C1
5.17,0.0,0.0,24.0,C3
0.4,0.0,0.0,0.05,C0
10.1,6.88,1.6,22.05,C1
5.76,3.16,6.11,25.87,C0
1.35,51.85,0.97,17.31,C1
5.23,0.0,2.43,4.42,C2
0.0,0.0,0.0,20.47,C3
2.38,0.0,1.92,2.52,C2
3.95,19.68,4.81,2.52,C1
6.92,4.1,0.97,30.14,C1
2.1,0.0,0.51,4.28,C0
2.66,26.61,2.83,2.49,C1
8.01,0.0,5.4,17.02,C2
12.18,0.0,0.92,20.53,C3
4.06,0.0,0.0,4.93,C2
4.04,0.0,0.0,2.5,C0
4.24,0.0,0.0,25.17,C0
2.72,12.07,0.93,7.46,C1
4.54,6.42,5.11,26.87,C2
3.29,20.3,1.47,17.2,C1
12.28,0.0,0.31,12.3,C3
5.39,0.0,4.65,10.04,C2
16.28,0.0,0.0,23.4,C0
1.05,6.74,5.22,4.1,C1
1.34,0.0,1.84,2.29,C2
2.79,73.28,8.19,29.63,C2
3.6,7.11,3.26,4.35,C1
1.38,44.91,3.91,2.53,C2
2.69,36.85,4.79,2.44,C1
4.17,0.0,5.83,2.52,C2
3.67,0.0,0.0,15.72,C3
2.67,7.26,0.94,17.41,C1
2.59,0.0,0.0,21.37,C3
3.49,13.34,4.44,16.86,C1
8.36,0.0,0.0,6.36,C2
2.41,14.1,2.54,2.32,C1
1.32,19.67,2.8,19.61,C1
6.07,0.0,0.0,57.48,C3
2.38,44.17,1.88,2.46,C1
1.33,0.0,0.0,2.44,C0
6.83,0.0,0.0,17.21,C3
2.62,23.42,0.87,2.46,C1
6.61,8.92,0.88,7.16,C1
3.3,0.0,0.69,6.25,C0
6.69,0.0,0.0,2.46,C0
4.92,10.0,2.48,13.48,C1
29.45,26.8,13.83,14.67,C1
11.72,0.0,3.77,4.64,C0
14.97,0.0,1.93,27.57,C2
3.95,0.0,0.92,4.88,C2
4.93,0.0,3.49,4.3,C0
3.29,0.0,0.0,8.91,C2
0.31,0.0,0.0,2.16,C0
4.79,64.89,16.12,4.65,C0
12.09,19.37,8.28,14.43,C1
2.67,39.97,1.9,2.52,C2
10.52,0.0,1.69,11.63,C1
0.0,0.0,0.0,4.86,C3
8.69,0.0,0.91,4.66,C0
5.33,0.0,1.17,5.84,C2
2.21,11.73,1.29,2.3,C1
2.71,15.31,2.83,2.43,C1
3.83,3.43,12.55,2.42,C2
2.41,0.0,0.0,24.12,C3
1.3,6.36,3.36,2.27,C2
4.24,28.34,9.89,1.51,C0
0.01,0.98,0.0,0.2,C1
7.4,0.0,0.0,7.21,C0
1.28,0.0,0.0,23.43,C3
9.62,0.0,0.94,2.22,C2
2.72,27.29,2.86,2.5,C1
3.78,0.0,1.75,11.36,C2
1.18,0.0,0.0,14.87,C2
8.23,0.0,0.0,26.71,C3
2.24,2.41,1.26,4.38,C1
1.36,0.0,0.0,17.32,C3
5.08,0.0,0.0,12.01,C0
0.54,0.0,0.0,16.01,C3
5.36,0.0,0.95,3.91,C0
5.7,6.49,1.12,9.14,C1
21.72,0.0,0.0,24.0,C2
6.63,11.81,1.86,2.45,C1
3.8,0.0,0.0,4.42,C2
2.3,0.0,1.74,15.22,C1
3.41,7.8,1.64,2.33,C1
2.77,45.09,1.92,4.95,C1
0.0,0.0,0.0,24.67,C3
5.27,0.0,6.43,29.3,C0
2.33,0.0,0.0,25.57,C0
2.67,15.66,0.92,2.5,C1
3.19,0.0,0.0,9.31,C0
2.64,9.58,2.65,2.32,C1
3.72,0.0,1.68,2.26,C1
1.28,0.0,0.0,38.4,C0
2.74,57.16,1.92,9.59,C2
4.08,4.11,3.71,2.48,C1
2.56,3.75,2.67,13.51,C2
1.25,14.72,0.81,20.84,C1
2.48,0.0,1.24,2.24,C1
2.11,0.0,0.5,2.19,C0
7.27,0.0,0.0,14.5,C3
4.28,4.62,3.68,27.98,C2
4.74,6.92,1.62,32.36,C1
1.27,0.0,2.69,4.64,C2
10.98,85.66,9.68,2.34,C0
7.79,0.0,0.0,12.08,C0
